crash_date,dotw,weekend,year,quarter,light_desc,county_desc,county_no,junction_desc,collision_type_desc,surf_cond_desc,rd_cond_desc,rd_div_desc,fix_obj_desc,report_no,acc_date,acc_time,signal_flag_desc,signal_flag,c_m_zone_flag,harm_event_code1,harm_event_desc2,harm_event_code2,rte_no,log_mile,logmile_dir_flag_desc,logmile_dir_flag,mainroad_name,distance,feet_miles_flag,distance_dir_flag,reference_no,reference_road_name,latitude,longitude,geocoded_column_type,geocoded_column_coordinates,report_type,weather_desc,feet_miles_flag_desc,reference_suffix,ped_injury,fatal_injury,harm_event_desc1,crash_datetime
2015-03-02,Mon,N,2015,Q1,Dark Lights On,Baltimore City,24,Non Intersection,Same Direction Left Turn,Wet,"Holes, Ruts, Etc.","Two-way, Not Divided",Not Applicable,ADF6860007,20150302,00:20:00,No,N,N,1,Other Vehicle,1,40,6.6,East,E,ORLEANS ST,50,F,E,1087,N WASHINGTON ST,39.295334193269,-76.5891265869141,Point,,NA,NA,NA,NA,N,N,NA,2015-03-02T00:20:00Z
2016-01-14,Thu,N,2016,Q1,Not Applicable,Baltimore City,24,Not Applicable,Same Movement Angle,Not Applicable,No Defects,"Two-way, Not Divided",Not Applicable,ADG625000L,20160114,06:48:00,Yes,Y,N,0,Not Applicable,0,1680,0.968,West,W,E FAYETTE ST,0,F,W,0,N CHESTER ST,39.2942101712941,-76.5875534713268,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-01-14T06:48:00Z
2016-10-15,Sat,Y,2016,Q4,Dark Lights On,Baltimore City,24,Intersection Related,Head On,Dry,No Defects,One-way Trafficway,Not Applicable,ADI750000N,20161015,01:09:00,Yes,Y,N,1,Not Applicable,0,1087,0.167,North,N,N WASHINGTON ST,0,U,N,1680,E FAYETTE ST,39.2941219508925,-76.5892446041107,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2016-10-15T01:09:00Z
2016-02-12,Fri,N,2016,Q1,NA,Baltimore City,24,Intersection Related,Other,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Building,ADI672000K,20160212,06:56:00,Yes,Y,N,1,Fixed Object,9,1390,0.24,West,W,E LOMBARD ST,0,F,E,1085,S WASHINGTON ST,39.2905650192918,-76.5891051292419,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-02-12T06:56:00Z
2017-03-10,Fri,N,2017,Q1,Daylight,Baltimore City,24,Non Intersection,Other,Dry,No Defects,Other,Not Applicable,ADF630000B,20170310,09:30:00,No,N,N,2,Not Applicable,0,40,6.35,East,E,ORLEANS ST,100,F,E,1445,N BROADWAY,39.2946533473947,-76.5917953848839,Point,,Property Damage Crash,Not Applicable,NA,NA,N,N,NA,2017-03-10T09:30:00Z
2016-02-16,Tue,N,2016,Q1,Unknown,Baltimore City,24,Non Intersection,Same Direction Sideswipe,Wet,No Defects,One-way Trafficway,Not Applicable,ADJ013002F,20160216,11:18:00,No,N,N,2,Not Applicable,0,1085,0.48,North,N,S WASHINGTON ST,30,F,N,1390,E LOMBARD ST,39.2906355992072,-76.5890595316887,Point,,Property Damage Crash,Raining,NA,NA,N,N,NA,2016-02-16T11:18:00Z
2017-02-20,Mon,N,2017,Q1,Daylight,Baltimore City,24,Intersection,Same Direction Sideswipe,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ9050002,20170220,15:00:00,No,N,N,1,Not Applicable,0,NA,0,NA,NA,ORLEANS ST,0,F,W,NA,N MONTFORD ST,39.2955801679705,-76.5835449099541,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-02-20T15:00:00Z
2019-04-06,Sat,Y,2019,Q2,Daylight,Baltimore City,24,Intersection,Same Direction Right Turn,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADK004000K,20190406,09:07:00,No,N,N,1,Other Vehicle,1,NA,0,NA,NA,E FAYETTE ST,0,F,U,NA,N PATTERSON PARK,39.2943031112943,-76.5848769655669,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2019-04-06T09:07:00Z
2017-11-18,Sat,Y,2017,Q4,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADF686001Z,20171118,01:50:00,Yes,Y,N,1,Not Applicable,0,40,6.6,East,E,ORLEANS ST,0,F,E,1087,N WASHINGTON ST,39.2953632536163,-76.5893948078156,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2017-11-18T01:50:00Z
2015-12-20,Sun,Y,2015,Q4,Dark Lights On,Baltimore City,24,Intersection,Same Direction Rear End Right Turn,Dry,No Defects,Unknown,Not Applicable,ADH9800004,20151220,02:29:00,Yes,Y,N,1,Not Applicable,0,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2954846842228,-76.5849825739861,Point,,NA,NA,NA,NA,N,N,NA,2015-12-20T02:29:00Z
2019-02-10,Sun,Y,2019,Q1,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Curb,ADJ892001S,20190210,19:13:00,Yes,Y,N,1,Fixed Object,9,1665,1.647,East,E,E BALTIMORE ST,0,F,E,1410,N PATTERSON PARK AVE,39.2918912203419,-76.5847252366066,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2019-02-10T19:13:00Z
2015-09-06,Sun,Y,2015,Q3,Dark No Lights,Baltimore City,24,Non Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ436000G,20150906,22:30:00,Yes,Y,N,1,Other Vehicle,1,1665,1.266,East,E,E BALTIMORE ST,0,F,E,0,S ANN ST,39.2915147283689,-76.5917229652405,Point,,NA,NA,NA,NA,N,N,NA,2015-09-06T22:30:00Z
2015-06-19,Fri,N,2015,Q2,Daylight,Baltimore City,24,Not Applicable,Same Direction Rear End,Dry,No Defects,"Two-way, Divided, Positive Median Barrier",Not Applicable,ADG1110004,20150619,15:11:00,No,N,N,1,Not Applicable,0,40,6.53,East,E,ORLEANS ST,0,U,E,1025,N WOLFE ST,39.2952013458134,-76.5921521186829,Point,,NA,NA,NA,NA,N,N,NA,2015-06-19T15:11:00Z
2015-03-14,Sat,Y,2015,Q1,Dark Lights On,Baltimore City,24,Non Intersection,Same Direction Rear End,Wet,No Defects,Not Applicable,Not Applicable,ADH8570001,20150314,06:30:00,No,N,N,1,Not Applicable,0,40,6.873,East,E,ORLEANS ST,60,F,E,NA,E BRADFORD ST,39.2955583727787,-76.5838050842285,Point,,NA,Raining,NA,NA,N,N,NA,2015-03-14T06:30:00Z
2019-02-18,Mon,N,2019,Q1,Daylight,Baltimore City,24,Not Applicable,Same Direction Left Turn,Dry,No Defects,"Two-way, Divided, Positive Median Barrier",Not Applicable,ADJ892001V,20190218,15:00:00,No,N,Y,1,Not Applicable,0,40,6.475,East,E,ORLEANS ST,0,F,W,0,ENT TO HOPKINS PARKING GARAGE,39.2952349647583,-76.5921330312858,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2019-02-18T15:00:00Z
2017-11-23,Thu,N,2017,Q4,Daylight,Baltimore City,24,Intersection Related,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Positive Median Barrier",Curb,ADH3380026,20171123,16:04:00,Yes,Y,N,1,Fixed Object,9,40,6.475,East,E,ORLEANS ST,0,F,E,0,ENT TO HOPKINS PARKING GARAGE,39.2952241789878,-76.5921092033386,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-11-23T16:04:00Z
2018-08-21,Tue,N,2018,Q3,Other,Baltimore City,24,Intersection,Head On Left Turn,Wet,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ8920016,20180821,16:25:00,Yes,Y,N,1,Not Applicable,0,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2955169647753,-76.5849457702709,Point,,Property Damage Crash,Raining,NA,NA,N,N,NA,2018-08-21T16:25:00Z
2016-11-06,Sun,Y,2016,Q4,Dark Lights On,Baltimore City,24,Not Applicable,Other,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ7380019,20161106,02:10:00,No,N,N,1,Not Applicable,0,NA,0,NA,NA,PATTERSON PARK AVE,100,F,N,NA,FAIRMOUNT,39.2932897705167,-76.5847277641296,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2016-11-06T02:10:00Z
2019-09-04,Wed,N,2019,Q3,Daylight,Baltimore City,24,Intersection,Same Direction Sideswipe,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI7030052,20190904,09:30:00,No,N,N,1,Not Applicable,0,40,6.795,East,E,ORLEANS ST,0,F,E,0,N MADEIRA ST,39.2955714676063,-76.5857106267855,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2019-09-04T09:30:00Z
2015-11-29,Sun,Y,2015,Q4,Dark Lights On,Baltimore City,24,Not Applicable,Unknown,Not Applicable,Not Applicable,Not Applicable,Not Applicable,ADI4670014,20151129,20:14:00,No,N,N,2,Not Applicable,0,40,6.6,East,E,ORLEANS ST,0,F,E,1087,N WASHINGTON ST,39.2956749249626,-76.5892620384693,Point,,NA,Not Applicable,NA,NA,N,N,NA,2015-11-29T20:14:00Z
2016-07-20,Wed,N,2016,Q3,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,Not Applicable,Not Applicable,ADJ380000D,20160720,07:20:00,Yes,Y,N,1,Other Vehicle,1,1410,0,South,S,N PATTERSON PARK AVE,0,F,S,1070,SINCLAIR LA,39.2954919492951,-76.5849208831787,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-07-20T07:20:00Z
2016-04-12,Tue,N,2016,Q2,Dark Lights On,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ749000T,20160412,01:14:00,Yes,Y,N,1,Not Applicable,0,1680,0.968,West,W,E FAYETTE ST,0,F,W,0,N CHESTER ST,39.2942112091805,-76.5875789523125,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-04-12T01:14:00Z
2017-11-06,Mon,N,2017,Q4,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ7630026,20171106,07:50:00,No,N,N,1,Other Vehicle,1,40,6.643,East,E,ORLEANS ST,0,F,E,0,N CASTLE ST,39.2953642914857,-76.5885190665722,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-11-06T07:50:00Z
2016-03-22,Tue,N,2016,Q1,NA,Baltimore City,24,Intersection,Head On Left Turn,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ114000Z,20160322,19:35:00,Yes,Y,N,1,Other Vehicle,1,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2955178959759,-76.5849329531193,Point,,Injury Crash,NA,NA,NA,N,N,NA,2016-03-22T19:35:00Z
2016-09-15,Thu,N,2016,Q3,Daylight,Baltimore City,24,Non Intersection,Same Direction Sideswipe,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADH845000J,20160915,13:00:00,No,N,N,2,Other Vehicle,1,1415,0,South,S,S PATTERSON PARK AVE,10,F,N,1665,E BALTIMORE ST,39.2919444285714,-76.584694236517,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-09-15T13:00:00Z
2015-07-07,Tue,N,2015,Q3,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,Not Applicable,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADI703000Q,20150707,14:15:00,Yes,Y,Y,1,Other Vehicle,1,1680,0.83,West,W,E FAYETTE ST,0,F,W,1410,N PATTERSON PARK AVE,39.294304618895,-76.5848672389984,Point,,NA,NA,NA,NA,N,N,NA,2015-07-07T14:15:00Z
2015-03-09,Mon,N,2015,Q1,Dark Lights On,Baltimore,3,Non Intersection,Same Direction Both Left Turn,Dry,No Defects,Not Applicable,Not Applicable,ADJ667000G,20150309,19:30:00,No,N,N,2,Not Applicable,0,NA,NA,NA,NA,ORLEANS STREET,10,F,E,NA,N WOLFE STREET,39.295658007886,-76.5910685062408,Point,,NA,NA,NA,NA,N,N,NA,2015-03-09T19:30:00Z
2017-06-30,Fri,N,2017,Q2,Daylight,Baltimore City,24,Intersection,Same Movement Angle,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ133002L,20170630,13:30:00,Yes,Y,N,2,Other Vehicle,1,1665,1.5,East,E,E BALTIMORE ST,0,F,E,0,N CHESTER ST,39.2917877024745,-76.5875078737736,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-06-30T13:30:00Z
2015-10-24,Sat,Y,2015,Q4,Unknown,Baltimore City,24,Non Intersection,Same Direction Right Turn,Dry,No Defects,One-way Trafficway,Not Applicable,ADJ389000W,20151024,19:05:00,Yes,Y,N,1,Not Applicable,0,40,6.53,East,E,ORLEANS ST,0,F,E,1025,N WOLFE ST,39.2953258903104,-76.5918838977814,Point,,NA,NA,NA,NA,N,N,NA,2015-10-24T19:05:00Z
2016-06-28,Tue,N,2016,Q2,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADG914000Z,20160628,09:41:00,No,N,N,1,Other Vehicle,1,NA,0,NA,NA,2000 FAYETTE  ST,10,F,E,NA,200CASTLE ST,39.2941769589207,-76.5884359180927,Point,,Property Damage Crash,NA,NA,NA,N,N,NA,2016-06-28T09:41:00Z
2015-10-08,Thu,N,2015,Q4,Daylight,Baltimore City,24,Intersection Related,Same Movement Angle,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADJ676000X,20151008,15:17:00,Yes,Y,N,1,Not Applicable,0,40,6.84,East,E,ORLEANS ST,0,F,E,1410,N PATTERSON PARK AVE,39.2955168581089,-76.5849530696869,Point,,NA,NA,NA,NA,N,N,NA,2015-10-08T15:17:00Z
2017-04-23,Sun,Y,2017,Q2,Daylight,Baltimore City,24,Not Applicable,Same Direction Rear End,Dry,Not Applicable,"Two-way, Not Divided",Not Applicable,ADJ232001F,20170423,11:50:00,No,N,N,1,Not Applicable,0,40,5.26,East,E,ORLEANS ST,0,U,E,40,FRANKLIN ST (WB COUPLET) (BACK),39.2954421316411,-76.5860903263092,Point,,Property Damage Crash,Clear,NA,NA,N,N,NA,2017-04-23T11:50:00Z
2018-12-17,Mon,N,2018,Q4,Daylight,Baltimore City,24,Intersection,Other,Dry,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Not Applicable,ADK095000F,20181217,15:18:00,Yes,Y,N,3,Not Applicable,0,NA,0,NA,NA,001 N CHESTER,0,F,N,NA,2001 E BALTIMORE,39.2918074351587,-76.5874285111751,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-12-17T15:18:00Z
2018-05-07,Mon,N,2018,Q2,Daylight,Baltimore City,24,Non Intersection,Same Direction Rear End,Dry,No Defects,"Two-way, Not Divided",Not Applicable,ADJ761001Z,20180507,15:00:00,Yes,Y,N,1,Not Applicable,0,40,6.6,East,E,ORLEANS ST,25,F,W,1087,N WASHINGTON ST,39.2953175873509,-76.5897381305695,Point,,Injury Crash,Clear,NA,NA,N,N,NA,2018-05-07T15:00:00Z
